"HumanGene"	"MouseGene"	"HomologyID"	"transID"
"ABCD3"	"Abcd3"	2140	"ENST00000370214_ENSG00000117528_ABCD3"
"ABCD4"	"Abcd4"	3703	"ENST00000356924_ENSG00000119688_ABCD4"
"ABCE1"	"Abce1"	2205	"ENST00000296577_ENSG00000164163_ABCE1"
"ABCF1"	"Abcf1"	849	"ENST00000326195_ENSG00000204574_ABCF1"
"ABCF2"	"Abcf2"	21408	"ENST00000222388_ENSG00000285292_ABCF2"
"ABCF3"	"Abcf3"	22784	"ENST00000429586_ENSG00000161204_ABCF3"
"ABCG1"	"Abcg1"	21022	"ENST00000361802_ENSG00000160179_ABCG1"
"ABCG2"	"Abcg2"	55852	"ENST00000237612_ENSG00000118777_ABCG2"
"ABCG4"	"Abcg4"	75179	"ENST00000615496_ENSG00000172350_ABCG4"
"ABCG5"	"Abcg5"	31909	"ENST00000260645_ENSG00000138075_ABCG5"
"ABCG8"	"Abcg8"	23361	"ENST00000272286_ENSG00000143921_ABCG8"
"ABHD10"	"Abhd10"	10173	"ENST00000273359_ENSG00000144827_ABHD10"
"ABHD11"	"Abhd11"	5961	"ENST00000222800_ENSG00000106077_ABHD11"
"ABHD12"	"Abhd12"	22910	"ENST00000376542_ENSG00000100997_ABHD12"
"ABHD12B"	"Gm804"	45643	"ENST00000337334_ENSG00000131969_ABHD12B"
"ABHD12B"	"Abhd12b"	128243	"ENST00000337334_ENSG00000131969_ABHD12B"
"ABHD13"	"Abhd13"	6716	"ENST00000375898_ENSG00000139826_ABHD13"
"ABHD14A"	"Abhd14a"	22889	"ENST00000273596_ENSG00000248487_ABHD14A"
"ABHD14B"	"Abhd14b"	9125	"ENST00000361143_ENSG00000114779_ABHD14B"
"ABHD15"	"Abhd15"	12142	"ENST00000307201_ENSG00000168792_ABHD15"
"ABHD15"	"1300007F04Rik"	12142	"ENST00000307201_ENSG00000168792_ABHD15"
"ABHD16A"	"Abhd16a"	10904	"ENST00000395952_ENSG00000204427_ABHD16A"
"ABHD16B"	"Abhd16b"	15422	"ENST00000369916_ENSG00000183260_ABHD16B"
"ABHD17A"	"Abhd17a"	50272	"ENST00000292577_ENSG00000129968_ABHD17A"
"ABHD17B"	"Abhd17b"	41089	"ENST00000377041_ENSG00000107362_ABHD17B"
"ABHD17C"	"Abhd17c"	26429	"ENST00000258884_ENSG00000136379_ABHD17C"
"ABHD18"	"Abhd18"	105457	"ENST00000645843_ENSG00000164074_ABHD18"
"ABHD2"	"Abhd2"	23121	"ENST00000352732_ENSG00000140526_ABHD2"
"ABHD3"	"Abhd3"	14055	"ENST00000289119_ENSG00000158201_ABHD3"
"ABHD4"	"Abhd4"	56937	"ENST00000428304_ENSG00000100439_ABHD4"
"ABHD5"	"Abhd5"	41088	"ENST00000644371_ENSG00000011198_ABHD5"
"ABHD6"	"Abhd6"	23246	"ENST00000295962_ENSG00000163686_ABHD6"
"ABHD8"	"Abhd8"	11188	"ENST00000247706_ENSG00000127220_ABHD8"
"ABI1"	"Abi1"	38053	"ENST00000376142_ENSG00000136754_ABI1"
"ABI2"	"Abi2"	4209	"ENST00000261017_ENSG00000138443_ABI2"
"ABI3"	"Abi3"	9505	"ENST00000225941_ENSG00000108798_ABI3"
"ABI3BP"	"Abi3bp"	105358	"ENST00000471714_ENSG00000154175_ABI3BP"
"ABITRAM"	"Abitram"	56788	NA
"ABL1"	"Abl1"	3783	"ENST00000372348_ENSG00000097007_ABL1"
"ABL2"	"Abl2"	5278	"ENST00000502732_ENSG00000143322_ABL2"
"ABLIM1"	"Ablim1"	40994	"ENST00000392955_ENSG00000099204_ABLIM1"
"ABLIM2"	"Ablim2"	82366	"ENST00000447017_ENSG00000163995_ABLIM2"
"ABLIM3"	"Ablim3"	69175	"ENST00000309868_ENSG00000173210_ABLIM3"
"ABO"	"Abo"	69306	"ENST00000611156_ENSG00000175164_ABO"
"ABP1"	"Abp1"	68159	NA
"ABR"	"Abr"	11081	"ENST00000302538_ENSG00000159842_ABR"
"ABRA"	"Abra"	34713	"ENST00000311955_ENSG00000174429_ABRA"
"ABRACL"	"Abracl"	64011	"ENST00000367660_ENSG00000146386_ABRACL"
"ABRAXAS1"	"Abraxas1"	16376	"ENST00000321945_ENSG00000163322_ABRAXAS1"
"ABRAXAS2"	"Abraxas2"	12970	"ENST00000298492_ENSG00000165660_ABRAXAS2"
"ABT1"	"Abt1"	6859	"ENST00000274849_ENSG00000146109_ABT1"
"ABTB1"	"Abtb1"	32731	"ENST00000232744_ENSG00000114626_ABTB1"
"ABTB2"	"Abtb2"	15904	"ENST00000435224_ENSG00000166016_ABTB2"
"ACAA1"	"Acaa1a"	37497	"ENST00000333167_ENSG00000060971_ACAA1"
"ACAA2"	"Acaa2"	4456	"ENST00000285093_ENSG00000167315_ACAA2"
"ACACA"	"Acaca"	31015	"ENST00000616317_ENSG00000278540_ACACA"
"ACACB"	"Acacb"	74382	"ENST00000377848_ENSG00000076555_ACACB"
"ACAD10"	"Acad10"	49825	"ENST00000455480_ENSG00000111271_ACAD10"
"ACAD11"	"Acad11"	49896	"ENST00000264990_ENSG00000240303_ACAD11"
"ACAD8"	"Acad8"	8662	"ENST00000281182_ENSG00000151498_ACAD8"
"ACAD9"	"Acad9"	8539	"ENST00000308982_ENSG00000177646_ACAD9"
"ACADL"	"Acadl"	37498	"ENST00000233710_ENSG00000115361_ACADL"
"ACADM"	"Acadm"	3	"ENST00000370834_ENSG00000117054_ACADM"
"ACADS"	"Acads"	20057	"ENST00000242592_ENSG00000122971_ACADS"
"ACADSB"	"Acadsb"	1216	"ENST00000358776_ENSG00000196177_ACADSB"
"ACADVL"	"Acadvl"	5	"ENST00000543245_ENSG00000072778_ACADVL"
"ACAN"	"Acan"	7227	"ENST00000439576_ENSG00000157766_ACAN"
"ACAP1"	"Centb1"	22835	"ENST00000158762_ENSG00000072818_ACAP1"
"ACAP1"	"Acap1"	22835	"ENST00000158762_ENSG00000072818_ACAP1"
"ACAP2"	"Centb2"	8182	"ENST00000326793_ENSG00000114331_ACAP2"
"ACAP2"	"Acap2"	8182	"ENST00000326793_ENSG00000114331_ACAP2"
"ACAP3"	"Acap3"	23708	"ENST00000354700_ENSG00000131584_ACAP3"
"ACAP3"	"Centb5"	23708	"ENST00000354700_ENSG00000131584_ACAP3"
"ACAT1"	"Acat1"	6	"ENST00000265838_ENSG00000075239_ACAT1"
"ACAT2"	"Acat3"	55855	"ENST00000367048_ENSG00000120437_ACAT2"
"ACAT2"	"Acat2"	55855	"ENST00000367048_ENSG00000120437_ACAT2"
"ACBD3"	"Acbd3"	11227	"ENST00000366812_ENSG00000182827_ACBD3"
"ACBD4"	"Acbd4"	32596	"ENST00000431281_ENSG00000181513_ACBD4"
"ACBD5"	"Acbd5"	12541	"ENST00000375888_ENSG00000107897_ACBD5"
"ACBD6"	"Acbd6"	12465	"ENST00000367595_ENSG00000230124_ACBD6"
"ACBD7"	"Acbd7"	82242	"ENST00000356189_ENSG00000176244_ACBD7"
"ACCN2"	"Accn2"	121755	NA
"ACCN4"	"Accn4"	11166	NA
"ACCN5"	"Accn5"	41171	NA
"ACCS"	"Accs"	75335	"ENST00000263776_ENSG00000110455_ACCS"
"ACCS"	"2610203E10Rik"	75335	"ENST00000263776_ENSG00000110455_ACCS"
"ACCSL"	"Gm1967"	86007	"ENST00000378832_ENSG00000205126_ACCSL"
"ACCSL"	"Accsl"	86007	"ENST00000378832_ENSG00000205126_ACCSL"
"ACD"	"Acd"	23391	"ENST00000620338_ENSG00000102977_ACD"
"ACE"	"Ace"	37351	"ENST00000290866_ENSG00000159640_ACE"
"ACE2"	"Ace2"	41448	"ENST00000427411_ENSG00000130234_ACE2"
"ACER1"	"Asah3"	15853	"ENST00000301452_ENSG00000167769_ACER1"
"ACER1"	"Acer1"	15853	"ENST00000301452_ENSG00000167769_ACER1"
"ACER2"	"Asah3l"	14986	"ENST00000340967_ENSG00000177076_ACER2"
"ACER2"	"Acer2"	14986	"ENST00000340967_ENSG00000177076_ACER2"
"ACER3"	"Phca"	5410	"ENST00000532485_ENSG00000078124_ACER3"
"ACER3"	"Acer3"	5410	"ENST00000532485_ENSG00000078124_ACER3"
"ACHE"	"Ache"	543	"ENST00000411582_ENSG00000087085_ACHE"
"ACIN1"	"Acin1"	22853	"ENST00000262710_ENSG00000100813_ACIN1"
"ACKR1"	"Ackr1"	48067	"ENST00000368122_ENSG00000213088_ACKR1"
"ACKR2"	"Ackr2"	992	"ENST00000422265_ENSG00000144648_ACKR2"
"ACKR3"	"Ackr3"	22419	"ENST00000272928_ENSG00000144476_ACKR3"
"ACKR4"	"Ackr4"	49474	"ENST00000249887_ENSG00000129048_ACKR4"
"ACLY"	"Acly"	854	"ENST00000352035_ENSG00000131473_ACLY"
"ACMSD"	"Acmsd"	44520	"ENST00000356140_ENSG00000153086_ACMSD"
"ACN9"	"Acn9"	41349	NA
"ACO1"	"Aco1"	1657	"ENST00000309951_ENSG00000122729_ACO1"
"ACO2"	"Aco2"	856	"ENST00000216254_ENSG00000100412_ACO2"
"ACOD1"	"Acod1"	35405	"ENST00000377462_ENSG00000102794_ACOD1"
"ACOT1"	"Acot3"	87824	"ENST00000311148_ENSG00000184227_ACOT1"
"ACOT11"	"Acot11"	11977	"ENST00000371316_ENSG00000162390_ACOT11"
"ACOT12"	"Acot12"	12540	"ENST00000307624_ENSG00000172497_ACOT12"
"ACOT13"	"Acot13"	41273	"ENST00000230048_ENSG00000112304_ACOT13"
"ACOT13"	"Them2"	41273	"ENST00000230048_ENSG00000112304_ACOT13"
"ACOT2"	"Acot2"	25661	"ENST00000238651_ENSG00000119673_ACOT2"
"ACOT4"	"Acot4"	44237	"ENST00000326303_ENSG00000177465_ACOT4"
"ACOT6"	"Acot6"	72506	"ENST00000381139_ENSG00000205669_ACOT6"
"ACOT7"	"Acot7"	15780	"ENST00000377855_ENSG00000097021_ACOT7"
"ACOT8"	"Acot8"	3991	"ENST00000217455_ENSG00000101473_ACOT8"
"ACOT9"	"Acot9"	8206	"ENST00000379303_ENSG00000123130_ACOT9"
"ACOX1"	"Acox1"	38299	"ENST00000293217_ENSG00000161533_ACOX1"
"ACOX2"	"Acox2"	74473	"ENST00000302819_ENSG00000168306_ACOX2"
"ACOX3"	"Acox3"	37792	"ENST00000356406_ENSG00000087008_ACOX3"
"ACOXL"	"Acoxl"	75083	"ENST00000439055_ENSG00000153093_ACOXL"
"ACP1"	"Acp1"	38274	"ENST00000272065_ENSG00000143727_ACP1"
"ACP2"	"Acp2"	1217	"ENST00000256997_ENSG00000134575_ACP2"
"ACP3"	"Acpp"	55552	NA
"ACP4"	"Acp4"	57200	"ENST00000270593_ENSG00000142513_ACP4"
"ACP5"	"Acp5"	37499	"ENST00000218758_ENSG00000102575_ACP5"
"ACP6"	"Acp6"	41128	"ENST00000583509_ENSG00000162836_ACP6"
"ACP7"	"Acp7"	23924	"ENST00000331256_ENSG00000183760_ACP7"
"ACPL2"	"Acpl2"	15931	NA
"ACPP"	"Acpp"	55552	"ENST00000351273_ENSG00000014257_ACPP"
"ACPT"	"Acpt"	57200	NA
"ACR"	"Acr"	855	"ENST00000216139_ENSG00000100312_ACR"
"ACRBP"	"Acrbp"	9641	"ENST00000229243_ENSG00000111644_ACRBP"
"ACRV1"	"Acrv1"	1219	"ENST00000533904_ENSG00000134940_ACRV1"
"ACSBG1"	"Acsbg1"	9044	"ENST00000258873_ENSG00000103740_ACSBG1"
"ACSBG2"	"Acsbg2"	57133	"ENST00000586696_ENSG00000130377_ACSBG2"
"ACSF2"	"BC018371"	23519	"ENST00000427954_ENSG00000167107_ACSF2"
"ACSF2"	"Acsf2"	23519	"ENST00000427954_ENSG00000167107_ACSF2"
"ACSF3"	"BC021611"	14958	"ENST00000614302_ENSG00000176715_ACSF3"
"ACSF3"	"Acsf3"	14958	"ENST00000614302_ENSG00000176715_ACSF3"
"ACSL1"	"Acsl1"	37561	"ENST00000281455_ENSG00000151726_ACSL1"
"ACSL3"	"Acsl3"	3278	"ENST00000357430_ENSG00000123983_ACSL3"
"ACSL4"	"Acsl4"	56282	"ENST00000340800_ENSG00000068366_ACSL4"
"ACSL5"	"Acsl5"	69208	"ENST00000354655_ENSG00000197142_ACSL5"
"ACSL6"	"Acsl6"	100939	"ENST00000296869_ENSG00000164398_ACSL6"
"ACSM1"	"Acsm1"	24930	"ENST00000307493_ENSG00000166743_ACSM1"
"ACSM2A"	"Acsm2"	70404	"ENST00000573854_ENSG00000183747_ACSM2A"
"ACSM3"	"Acsm3"	74559	"ENST00000289416_ENSG00000005187_ACSM3"
"ACSM4"	"BC048390"	72281	"ENST00000399422_ENSG00000215009_ACSM4"
"ACSM4"	"Acsm4"	72281	"ENST00000399422_ENSG00000215009_ACSM4"
"ACSM5"	"C730027J19Rik"	69242	"ENST00000331849_ENSG00000183549_ACSM5"
"ACSM5"	"Acsm5"	69242	"ENST00000331849_ENSG00000183549_ACSM5"
"ACSS1"	"Acss1"	56037	"ENST00000323482_ENSG00000154930_ACSS1"
"ACSS2"	"Acss2"	6469	"ENST00000253382_ENSG00000131069_ACSS2"
"ACSS3"	"Acss3"	11587	"ENST00000548058_ENSG00000111058_ACSS3"
"ACTA1"	"Acta1"	121702	"ENST00000366684_ENSG00000143632_ACTA1"
"ACTA2"	"Acta2"	133938	"ENST00000224784_ENSG00000107796_ACTA2"
"ACTB"	"Actb"	110648	"ENST00000331789_ENSG00000075624_ACTB"
"ACTBL2"	"Actbl2"	134276	"ENST00000423391_ENSG00000169067_ACTBL2"
"ACTBL2"	"4732495G21Rik"	59104	"ENST00000423391_ENSG00000169067_ACTBL2"
"ACTC1"	"Actc1"	68446	"ENST00000290378_ENSG00000159251_ACTC1"
"ACTG1"	"Actg1"	74402	"ENST00000331925_ENSG00000184009_ACTG1"
"ACTG2"	"Actg2"	123845	"ENST00000345517_ENSG00000163017_ACTG2"
"ACTG2"	"Acta2"	101521	"ENST00000345517_ENSG00000163017_ACTG2"
"ACTL10"	"Actl10"	128516	"ENST00000330271_ENSG00000182584_ACTL10"
"ACTL6A"	"Actl6a"	55811	"ENST00000429709_ENSG00000136518_ACTL6A"
"ACTL6B"	"Actl6b"	81844	"ENST00000160382_ENSG00000077080_ACTL6B"
"ACTL7A"	"Actl7a"	7613	"ENST00000333999_ENSG00000187003_ACTL7A"
"ACTL7B"	"Actl7b"	21330	"ENST00000374667_ENSG00000148156_ACTL7B"
"ACTL9"	"Actl9"	77642	"ENST00000324436_ENSG00000181786_ACTL9"
"ACTN1"	"Actn1"	55553	"ENST00000394419_ENSG00000072110_ACTN1"
"ACTN2"	"Actn2"	31016	"ENST00000366578_ENSG00000077522_ACTN2"
"ACTN3"	"Actn3"	862	"ENST00000502692_ENSG00000248746_ACTN3"
"ACTN4"	"Actn4"	55857	"ENST00000252699_ENSG00000130402_ACTN4"
"ACTR10"	"Actr10"	10220	"ENST00000254286_ENSG00000131966_ACTR10"
"ACTR1A"	"Actr1a"	21173	"ENST00000369905_ENSG00000138107_ACTR1A"
"ACTR1B"	"Actr1b"	101541	"ENST00000289228_ENSG00000115073_ACTR1B"
"ACTR2"	"Actr2"	4181	"ENST00000377982_ENSG00000138071_ACTR2"
"ACTR3"	"Actr3"	68483	"ENST00000263238_ENSG00000115091_ACTR3"
"ACTR3B"	"Actr3b"	4180	"ENST00000256001_ENSG00000133627_ACTR3B"
"ACTR5"	"Actr5"	6818	"ENST00000243903_ENSG00000101442_ACTR5"
"ACTR6"	"Actr6"	6451	"ENST00000188312_ENSG00000075089_ACTR6"
"ACTR8"	"Actr8"	11286	"ENST00000335754_ENSG00000113812_ACTR8"
"ACTRT1"	"Actrt1"	23648	"ENST00000371124_ENSG00000123165_ACTRT1"
"ACTRT2"	"Actrt2"	23647	"ENST00000378404_ENSG00000169717_ACTRT2"
"ACTRT3"	"Actrt3"	13038	"ENST00000330368_ENSG00000184378_ACTRT3"
"ACVR1"	"Acvr1"	7	"ENST00000263640_ENSG00000115170_ACVR1"
"ACVR1B"	"Acvr1b"	20906	"ENST00000541224_ENSG00000135503_ACVR1B"
"ACVR1C"	"Acvr1c"	26724	"ENST00000243349_ENSG00000123612_ACVR1C"
"ACVR2A"	"Acvr2a"	20391	"ENST00000241416_ENSG00000121989_ACVR2A"
"ACVR2B"	"Acvr2b"	863	"ENST00000352511_ENSG00000114739_ACVR2B"
"ACVRL1"	"Acvrl1"	20058	"ENST00000388922_ENSG00000139567_ACVRL1"
"ACY1"	"Acy1"	110440	"ENST00000636358_ENSG00000243989_ACY1"
"ACY3"	"Acy3"	12401	"ENST00000255082_ENSG00000132744_ACY3"
"ACYP1"	"Acyp1"	11932	"ENST00000555463_ENSG00000119640_ACYP1"
"ACYP2"	"Acyp2"	41776	"ENST00000607452_ENSG00000170634_ACYP2"
"ADA"	"Ada"	37249	"ENST00000372874_ENSG00000196839_ADA"
"ADAD1"	"Tenr"	7569	"ENST00000296513_ENSG00000164113_ADAD1"
"ADAD1"	"Adad1"	7569	"ENST00000296513_ENSG00000164113_ADAD1"
"ADAD2"	"4930403J07Rik"	16392	"ENST00000268624_ENSG00000140955_ADAD2"
"ADAD2"	"Adad2"	16392	"ENST00000268624_ENSG00000140955_ADAD2"
"ADAL"	"Adal"	13827	"ENST00000562188_ENSG00000168803_ADAL"
"ADAM10"	"Adam10"	865	"ENST00000260408_ENSG00000137845_ADAM10"
"ADAM11"	"Adam11"	7614	"ENST00000200557_ENSG00000073670_ADAM11"
"ADAM12"	"Adam12"	74862	"ENST00000368679_ENSG00000148848_ADAM12"
"ADAM15"	"Adam15"	2829	"ENST00000356955_ENSG00000143537_ADAM15"
"ADAM17"	"Adam17"	2395	"ENST00000310823_ENSG00000151694_ADAM17"
"ADAM18"	"Adam18"	74941	"ENST00000265707_ENSG00000168619_ADAM18"
"ADAM19"	"Adam19"	74925	"ENST00000257527_ENSG00000135074_ADAM19"
"ADAM2"	"Adam2"	1127	"ENST00000265708_ENSG00000104755_ADAM2"
"ADAM20"	"Adam39"	128364	"ENST00000256389_ENSG00000134007_ADAM20"
"ADAM21"	"Adam21"	68365	"ENST00000603540_ENSG00000139985_ADAM21"
"ADAM22"	"Adam22"	37898	"ENST00000265727_ENSG00000008277_ADAM22"
"ADAM23"	"Adam23"	2826	"ENST00000264377_ENSG00000114948_ADAM23"
"ADAM28"	"Adam28"	40705	"ENST00000265769_ENSG00000042980_ADAM28"
"ADAM29"	"Adam29"	8607	"ENST00000404450_ENSG00000168594_ADAM29"
"ADAM30"	"Adam30"	11038	"ENST00000369400_ENSG00000134249_ADAM30"
"ADAM32"	"Adam32"	17021	"ENST00000379907_ENSG00000197140_ADAM32"
"ADAM33"	"Adam33"	11881	"ENST00000356518_ENSG00000149451_ADAM33"
"ADAM7"	"Adam7"	2830	"ENST00000175238_ENSG00000069206_ADAM7"
"ADAM8"	"Adam8"	74384	"ENST00000445355_ENSG00000151651_ADAM8"
"ADAM9"	"Adam9"	20824	"ENST00000487273_ENSG00000168615_ADAM9"
"ADAMDEC1"	"Adamdec1"	8711	"ENST00000256412_ENSG00000134028_ADAMDEC1"
"ADAMTS1"	"Adamts1"	21381	"ENST00000284984_ENSG00000154734_ADAMTS1"
"ADAMTS10"	"Adamts10"	81940	"ENST00000595838_ENSG00000142303_ADAMTS10"
"ADAMTS12"	"Adamts12"	12808	"ENST00000504830_ENSG00000151388_ADAMTS12"
"ADAMTS13"	"Adamts13"	16372	"ENST00000371929_ENSG00000160323_ADAMTS13"
"ADAMTS14"	"Adamts14"	16383	"ENST00000373208_ENSG00000138316_ADAMTS14"
"ADAMTS15"	"Adamts15"	8610	"ENST00000299164_ENSG00000166106_ADAMTS15"
"ADAMTS16"	"Adamts16"	15146	"ENST00000274181_ENSG00000145536_ADAMTS16"
"ADAMTS17"	"Adamts17"	16373	"ENST00000268070_ENSG00000140470_ADAMTS17"
"ADAMTS18"	"Adamts18"	65241	"ENST00000282849_ENSG00000140873_ADAMTS18"
"ADAMTS19"	"Adamts19"	15860	"ENST00000274487_ENSG00000145808_ADAMTS19"
"ADAMTS2"	"Adamts2"	8597	"ENST00000251582_ENSG00000087116_ADAMTS2"
"ADAMTS20"	"Adamts20"	11808	"ENST00000389420_ENSG00000173157_ADAMTS20"
"ADAMTS3"	"Adamts3"	8596	"ENST00000622135_ENSG00000156140_ADAMTS3"
"ADAMTS4"	"Adamts4"	36169	"ENST00000367996_ENSG00000158859_ADAMTS4"
"ADAMTS5"	"Adamts5"	5109	"ENST00000284987_ENSG00000154736_ADAMTS5"
"ADAMTS6"	"Adamts6"	82573	"ENST00000381055_ENSG00000049192_ADAMTS6"
"ADAMTS7"	"Adamts7"	22803	"ENST00000388820_ENSG00000136378_ADAMTS7"
"ADAMTS8"	"Adamts8"	5108	"ENST00000257359_ENSG00000134917_ADAMTS8"
"ADAMTS9"	"Adamts9"	18821	"ENST00000498707_ENSG00000163638_ADAMTS9"
"ADAMTSL1"	"Adamtsl1"	64642	"ENST00000380548_ENSG00000178031_ADAMTSL1"
"ADAMTSL2"	"Adamtsl2"	8798	"ENST00000354484_ENSG00000197859_ADAMTSL2"
"ADAMTSL3"	"Adamtsl3"	18912	"ENST00000286744_ENSG00000156218_ADAMTSL3"
"ADAMTSL4"	"Adamtsl4"	23141	"ENST00000271643_ENSG00000143382_ADAMTSL4"
"ADAMTSL5"	"Adamtsl5"	19803	"ENST00000330475_ENSG00000185761_ADAMTSL5"
"ADAP1"	"Centa1"	55997	"ENST00000265846_ENSG00000105963_ADAP1"
"ADAP1"	"Adap1"	55997	"ENST00000265846_ENSG00000105963_ADAP1"
"ADAP2"	"Centa2"	10179	"ENST00000580525_ENSG00000184060_ADAP2"
"ADAP2"	"Adap2"	10179	"ENST00000580525_ENSG00000184060_ADAP2"
"ADAR"	"Adar"	9281	"ENST00000368474_ENSG00000160710_ADAR"
"ADARB1"	"Adarb1"	8280	"ENST00000389863_ENSG00000197381_ADARB1"
"ADARB2"	"Adarb2"	10276	"ENST00000381312_ENSG00000185736_ADARB2"
